Article paper;Zhang, Yuefeng;Test-Driven Modeling for Model-Driven Development;2004;10.1109/MS.2004.1331307;21;5;IEEE Softw.;1575
Article paper;Damm, Lars-Ola and Lundberg, Lars and Olsson, David;Introducing Test Automation and Test-Driven Development;2005;null;116;1;Electron. Notes Theor. Comput. Sci.;691
Article paper;Erdogmus, Hakan and Morisio, Maurizio and Torchiano, Marco;On the Effectiveness of the Test-First Approach to Programming;2005;10.1109/TSE.2005.37;31;3;IEEE Trans. Softw. Eng.;723
Article paper;Janzen, David and Saiedian, Hossein;Test-Driven Development: Concepts, Taxonomy, and Future Direction;2005;10.1109/MC.2005.314;38;9;Computer;352
Article paper;Vodde, Bas and Koskela, Lasse;Learning Test-Driven Development by Counting Lines;2007;10.1109/MS.2007.80;24;3;IEEE Softw.;1255
Article paper;Leroy, Xavier;A Formally Verified Compiler Back-End;2009;10.1007/s10817-009-9155-4;43;4;J. Autom. Reason.;965
Article paper;Pan\v{c}ur, Matja and Ciglari\v{c}, Mojca;Impact of Test-Driven Development on Productivity, Code and Tests: A Controlled Experiment;2011;10.1016/j.infsof.2011.02.002;53;6;Inf. Softw. Technol.;1094
Article paper;Dog\v{s}a, Toma\v{z} and Bati\v{c}, David;The Effectiveness of Test-Driven Development: An Industrial Case Study;2011;10.1007/s11219-011-9130-2;19;4;Software Quality Journal;1171
Article paper;Latorre, Roberto;A Successful Application of a Test-Driven Development Strategy in the Industrial Environment;2014;10.1007/s10664-013-9281-9;19;3;Empirical Softw. Engg.;661
Conference paper;George,  Boby and Williams,  Laurie;An Initial Investigation of Test Driven Development in Industry;2003;10.1145/952532.952753;Proceedings of the 2003 ACM Symposium on Applied Computing;611
Conference paper;Leung,  Karl R. P. H. and Yeung,  W. L.;Generating User Acceptance Test Plans from Test Cases;2007;10.1109/COMPSAC.2007.125;Proceedings of the 31st Annual International Computer Software and Applications Conference - Volume 02;1123
Conference paper;Hammond,  Susan and Umphress,  David;Test Driven Development: The State of the Practice;2012;10.1145/2184512.2184550;Proceedings of the 50th Annual Southeast Regional Conference;78
Conference paper;Munir,  Hussan and Wnuk,  Krzysztof and Petersen,  Kai and Moayyed,  Misagh;An Experimental Evaluation of Test Driven Development vs. Test-Last Development with Industry Professionals;2014;10.1145/2601248.2601267;Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering;318
Conference paper;Santos,  Ernani C\'{e}sar Dos and Vilain,  Patr\'{\i}cia and Longo,  Douglas Hiura;A Systematic Literature Review to Support the Selection of User Acceptance Testing Techniques;2018;10.1145/3183440.3195036;Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings;1072
Conference paper;Tosun,  Ayse and Ahmed,  Muzamil and Turhan,  Burak and Juristo,  Natalia;On the Effectiveness of Unit Tests in Test-Driven Development;2018;10.1145/3202710.3203153;Proceedings of the 2018 International Conference on Software and System Process;1427

